,Code,SMILES
0,AC10018,FC1=CC=C(C=C1)C(C2=CC=C(F)C=C2)N3CCNCC3
1,AC12157,NC1=NC(N=CN2)=C2C(SC)=N1
2,AC13917,CN(C)CC1=CNC2=C1C=C(C=C2)OCC3=CC=CC=C3
3,AC27191,O=C(O)C1=CC=C(Br)O1
4,AC29806,O=C(O)C(N)CC1=CNC2=C1C=C(Br)C=C2
5,AC34541,O=C(O)C1=CC(OC)=CC(OC)=C1
6,AC42043,FC(C=C1)=CC2=C1NC=C2CC(N)C(O)=O
7,AW00107,OC1=NC(C=CC=C2)=C2C(C)=C1
8,AW00142,NC1=CC=C2SC3=NCCN3C2=C1
9,AW00178,CN(C)CC1=CNC2=C1C=C(OC)C=C2
10,AC10402,C12=C(C=CC=C2)NC3=C1C=CN=C3
11,AC12308,OC1=C(C=CC=C2)C2=NC(O)=C1
12,AC14674,NC1=C(CCCC2)C2=NC3=C1C=CC=C3
13,AC27651,OC1CN(CCC1)CC2=CC=CC=C2.Cl
14,AC30194,OC(C(C1)NCC2=C1C=C(O)C=C2)=O
15,AC34762,NC(C(O)=O)CC1=CNC2=C1C=CC(F)=C2
16,AC42061,OC1=CC=C(C=C1)N2C=NC=C2
17,AW00111,OC1=CC=C(C=C1)N2N=CN=C2
18,AW00143,NC(N1)=NC2=CC=CC3=C2C1=CC=C3.Br
19,AW00179,CN(C)C1=C2C(NC=N2)=NC=N1
20,AC10608,O=C(C)NCCC1=CNC2=C1C=C(O)C=C2
21,AC12586,O=C1C(C(N=CN1)=NC(C)=C2)=C2C
22,AC29083,CN(C(S(O)(=O)=O)=N1)C2=C1C=CC=C2
23,AC30928,FC(F)(F)C(C=C1O)=NN1C
24,AC35494,NC(SC1=C2CCCCC1)=C2C(OCC)=O
25,AW00005,O=C(C1=CC2=C(C=C1)NC(C)=N2)O
26,AW00114,ClC1=CC(OC(O)=N2)=C2C=C1
27,AW00155,S=C1N(C)C2=C(O1)C=CC=C2
28,AW00180,NC1=NC(SC)=NC2=C1C=CC=C2
29,AC10702,NC1=NC(N)=NC(N=C2)=C1N=C2CO.Cl
31,AC29286,O=C(OC)C1=CNC2=C1C=CC=C2
32,AC31181,FC(F)(F)C1=NNC(C(F)(F)F)=C1
33,AC35726,ClC1=CC2=C(C=C1)N=CC=C2
34,AW00029,[O-][N+](C1=C2C(C=NN2)=CC=C1)=O
35,AW00118,C1(/N=C\C2=CC=CC=C2)=CC=CC3=CC=CC=C13
36,AW00166,[O-]S(OC1=CNC2=C1C=CC=C2)(=O)=O.[K+]
37,AW00184,[O-][N+](C1=CC2=C(SN=C2N)C=C1)=O
38,AC10751,O=C(O)C1=CC=C2C(C(O)=CC=C2)=N1
